Time,X_LBL_SinkMarks,X_CV_Warpage,Y_AreaCavityPressure1Dr1,Y_AreaCavityPressure1Max,Y_AreaInjectionSpeed,Y_AreaInjectionSpeedMax,Y_AreaInjectionStroke,Y_AreaMeltPressure,Y_AreaMeltPressureMax,Y_AreaPower,Y_AreaPowerMax,Y_BackPressureMax,Y_CavityPressure1Max,Y_CoolingTime,Y_CushionVolume,Y_CycleTime,Y_CylinderTemperature01,Y_CylinderTemperature02,Y_CylinderTemperature03,Y_CylinderTemperature04,Y_CylinderTemperature11,Y_EjectionTime,Y_FlangeTemperature,Y_HoldingTime,Y_InjectionPressureMax,Y_InjectionTime,Y_InjectionUnitBackwardsTime,Y_InjectionUnitForwardsTime,Y_OilTemperature,Y_PlastificationTime,Y_SchlAbb Zeit,Y_SchlAuf Zeit,Y_ToolClosingTime,Y_ToolOpeningTime,Y_ToolTemperature1,Y_ToolTemperature2,Y_TransferPressure,Y_TransferSpecificPressure1,Y_TransferStroke,Y_WaitingTime,X_SCA_PartWeight
2022-08-22 10:22:00,1,0.48,525.0,123.0,77.1,15.6,588.4,3472.0,310.0,10.7,3006.5,119,124.0,15.51,19.63,56.97,190,195,195,200,200,2.56,40,25.0,311.0,8.73,0.75,0.14,18,11.26,0.39,0.32,1.59,1.81,0,0,308.0,124.0,19.99,0.02,91.39
2022-08-22 10:23:00,1,0.49,517.0,122.0,77.1,15.6,588.4,3422.0,308.0,10.7,3006.5,120,122.0,15.51,19.6,56.97,190,195,195,200,201,2.56,40,25.0,310.0,8.73,0.75,0.14,18,11.26,0.39,0.32,1.59,1.81,0,0,307.0,122.0,19.99,0.02,91.37
2022-08-22 10:24:00,1,0.38,528.0,125.0,77.1,15.6,588.5,3480.0,314.0,11.1,3436.0,119,125.0,15.5,19.71,56.97,190,195,195,200,203,2.56,40,25.0,314.0,8.73,0.75,0.15,18,10.98,0.38,0.32,1.6,1.81,0,0,312.0,125.0,19.99,0.01,91.42
2022-08-22 10:25:00,1,0.41,508.0,123.0,77.1,15.6,588.5,3441.0,315.0,11.1,3436.0,118,123.0,15.5,19.66,56.98,190,195,195,200,204,2.56,40,25.0,315.0,8.73,0.76,0.15,18,11.26,0.38,0.32,1.6,1.81,0,0,312.0,123.0,19.99,0.02,91.23
2022-08-22 10:26:00,1,0.46,513.0,121.0,77.1,15.6,588.5,3437.0,311.0,11.1,3436.0,119,122.0,15.5,19.61,56.96,190,195,195,200,203,2.56,40,25.0,311.0,8.73,0.75,0.15,18,11.2,0.38,0.32,1.59,1.81,0,0,308.0,122.0,19.99,0.02,91.24
2022-08-22 10:27:00,1,0.46,514.0,123.0,77.1,15.6,588.5,3450.0,310.0,11.1,3436.0,119,124.0,15.5,19.67,56.96,190,195,195,200,202,2.56,40,25.0,311.0,8.73,0.75,0.15,18,11.15,0.38,0.32,1.59,1.81,0,0,309.0,124.0,19.99,0.01,91.3
2022-08-22 10:28:00,1,0.45,523.0,123.0,77.1,15.6,588.5,3459.0,310.0,11.1,3436.0,118,124.0,15.5,19.72,56.97,190,195,195,200,200,2.56,40,25.0,310.0,8.73,0.76,0.15,18,11.07,0.38,0.32,1.6,1.81,0,0,308.0,123.0,19.99,0.02,91.35
2022-08-22 10:29:00,1,0.37,511.0,122.0,77.1,15.6,588.5,3464.0,309.0,11.1,3436.0,119,122.0,15.5,19.61,56.97,190,195,195,200,199,2.56,40,25.0,309.0,8.73,0.75,0.14,18,11.12,0.38,0.32,1.59,1.81,0,0,306.0,122.0,19.99,0.01,91.24
2022-08-22 10:30:00,1,0.4,515.0,122.0,77.1,15.6,588.5,3458.0,310.0,11.1,3436.0,120,123.0,15.51,19.68,56.98,190,195,195,200,199,2.56,40,25.0,310.0,8.73,0.75,0.15,18,11.29,0.38,0.32,1.6,1.81,0,0,307.0,123.0,19.99,0.01,91.28
2022-08-22 10:31:00,1,0.41,511.0,122.0,77.1,15.6,588.5,3468.0,311.0,11.1,3436.0,121,123.0,15.5,19.66,56.96,190,195,195,200,199,2.56,40,25.0,311.0,8.73,0.76,0.14,18,11.12,0.38,0.32,1.6,1.81,0,0,308.0,123.0,19.99,0.02,91.21
2022-08-22 10:32:00,1,0.4,511.0,122.0,77.1,15.6,588.4,3460.0,308.0,10.7,3006.5,119,122.0,15.5,19.64,56.96,190,195,195,200,200,2.56,40,25.0,310.0,8.73,0.75,0.14,18,11.17,0.38,0.32,1.6,1.81,0,0,308.0,122.0,19.99,0.02,91.23
2022-08-22 10:33:00,0,0.8,1217.0,122.0,77.1,15.6,588.5,4510.0,311.0,11.1,3436.0,120,123.0,15.5,13.45,56.99,190,195,195,200,200,2.59,40,25.0,312.0,8.73,0.76,0.14,18,11.69,0.38,0.32,1.59,1.81,0,0,310.0,123.0,19.99,0.02,95.14
2022-08-22 10:34:00,0,0.81,1235.0,122.0,77.1,15.6,588.5,4509.0,310.0,11.1,3436.0,121,123.0,15.5,13.33,57.0,190,195,195,200,200,2.59,40,25.0,311.0,8.73,0.76,0.14,18,11.7,0.38,0.32,1.6,1.81,0,0,308.0,123.0,19.99,0.02,95.17
2022-08-22 10:35:00,0,0.81,1211.0,122.0,77.1,15.6,588.5,4506.0,313.0,11.1,3436.0,120,122.0,15.5,13.35,57.0,190,195,195,200,200,2.58,40,25.0,314.0,8.73,0.75,0.14,18,11.69,0.38,0.32,1.6,1.81,0,0,310.0,122.0,19.99,0.02,95.15
2022-08-22 10:36:00,0,0.81,1235.0,124.0,77.1,15.6,588.5,4506.0,314.0,11.1,3436.0,125,124.0,15.5,13.62,56.99,190,195,195,200,200,2.58,40,25.0,314.0,8.73,0.75,0.14,18,11.65,0.38,0.32,1.59,1.81,0,0,310.0,124.0,19.99,0.02,95.15
2022-08-22 10:37:00,0,0.8,1232.0,125.0,77.1,15.6,588.5,4511.0,316.0,11.1,3436.0,119,126.0,15.5,13.7,57.02,190,195,195,200,201,2.58,40,25.0,316.0,8.73,0.75,0.14,18,11.49,0.38,0.32,1.6,1.81,0,0,314.0,126.0,19.99,0.02,95.16
